Wavelength	Excitation	Emission
300	100	0
301	97.77549092	0
302	95.67456567	0
303	93.80433025	0
304	91.97940891	0
305	90.1833238	0
306	88.44903061	0
307	86.63646765	0
308	84.74151546	0
309	83.00722227	0
310	81.20289824	0
311	79.4727245	0
312	77.74667023	0
313	76.13596088	0
314	74.5911629	0
315	73.12463469	0
316	71.65398702	0
317	70.27808695	0
318	69.02577073	0
319	67.81876858	0
320	66.63648319	0
321	65.52834811	0
322	64.54791633	0
323	63.59220132	0
324	62.72711445	0
325	61.8496692	0
326	61.04225479	0
327	59.60044335	0
328	59.20909453	0
329	58.69416187	0
330	58.03504807	0
331	57.37593426	0
332	56.81568753	0
333	56.18540996	0
334	55.596327	0
335	54.99900511	0
336	54.48407245	0
337	53.89498949	0
338	53.38829576	0
339	52.88160202	0
340	52.41198344	0
341	51.87233401	0
342	51.50158249	0
343	51.01548607	0
344	50.57882317	0
345	50.13804082	0
346	49.693139	0
347	49.28531233	0
348	48.84041052	0
349	48.45730062	0
350	48.01651826	0
351	47.59221375	0
352	47.17614816	0
353	46.77244096	0
354	46.30694184	0
355	45.94854871	0
356	45.54072204	0
357	45.07934238	0
358	44.70859086	0
359	44.26368905	0
360	43.90529592	0
361	43.49334979	0
362	43.08552312	0
363	42.71889107	0
364	42.33166171	0
365	41.89911828	0
366	41.54072515	0
367	41.16173471	0
368	40.81981943	0
369	40.46554576	0
370	40.11951101	0
371	39.74422809	0
372	39.33681337	0
373	39.04845108	0
374	38.70241634	0
375	38.35226213	0
376	38.01817382	0
377	37.65195371	0
378	37.36359142	0
379	36.9516453	0
380	36.67152193	0
381	36.14835035	0
382	36.0371249	0
383	35.67420036	0
384	35.31621917	0
385	35.0851174	0
386	34.80952544	0
387	34.5046853	0
388	34.21220355	0
389	33.91560234	0
390	33.64783736	0
391	33.35123615	0
392	33.00478946	0
393	32.72095858	0
394	32.43671575	0
395	32.11127831	0
396	31.79407979	0
397	31.50118609	0
398	31.27502767	0
399	30.94959023	0
400	30.62827225	0
401	30.31931266	0
402	30.01447252	0
403	29.73846862	0
404	29.41303118	0
405	29.09583266	0
406	28.79099253	0
407	28.5067497	0
408	28.18955118	0
409	27.88059159	0
410	27.54279576	0
411	27.25031401	0
412	26.91663765	0
413	26.59078826	0
414	26.22456816	0
415	25.89913072	0
416	25.54073759	0
417	25.16586661	0
418	24.83219025	0
419	24.49851388	0
420	24.16895698	0
421	23.83940008	0
422	23.5180821	0
423	23.2420782	0
424	22.87132668	0
425	22.62827847	0
426	22.31174062	0
427	22.01074791	0
