Wavelength	Excitation	Emission
426.5	0.013	0
427	0.013	0
427.5	0.013	0
428	0.013	0
428.5	0.013	0
429	0.013	0
429.5	0.013	0
430	0.013	0
430.5	0.013	0
431	0.012	0
431.5	0.013	0
432	0.013	0
432.5	0.013	0
433	0.013	0
433.5	0.012	0
434	0.013	0
434.5	0.013	0
435	0.013	0
435.5	0.013	0
436	0.013	0
436.5	0.013	0
437	0.013	0
437.5	0.013	0
438	0.013	0
438.5	0.013	0
439	0.014	0
439.5	0.014	0
440	0.014	0
440.5	0.014	0
441	0.014	0
441.5	0.014	0
442	0.014	0
442.5	0.014	0
443	0.014	0
443.5	0.014	0
444	0.014	0
444.5	0.014	0
445	0.015	0
445.5	0.015	0
446	0.014	0
446.5	0.015	0
447	0.015	0
447.5	0.015	0
448	0.015	0
448.5	0.016	0
449	0.016	0
449.5	0.016	0
450	0.017	0
450.5	0.017	0
451	0.017	0
451.5	0.017	0
452	0.017	0
452.5	0.018	0
453	0.018	0
453.5	0.019	0
454	0.019	0
454.5	0.02	0
455	0.02	0
455.5	0.021	0
456	0.021	0
456.5	0.022	0
457	0.022	0
457.5	0.023	0
458	0.023	0
458.5	0.024	0
459	0.024	0
459.5	0.025	0
460	0.026	0
460.5	0.026	0
461	0.027	0
461.5	0.027	0
462	0.028	0
462.5	0.029	0
463	0.029	0
463.5	0.03	0
464	0.031	0
464.5	0.032	0
465	0.033	0
465.5	0.034	0
466	0.034	0
466.5	0.035	0
467	0.036	0
467.5	0.037	0
468	0.038	0
468.5	0.039	0
469	0.04	0
469.5	0.041	0
470	0.042	0
470.5	0.043	0
471	0.044	0
471.5	0.045	0
472	0.046	0
472.5	0.047	0
473	0.048	0
473.5	0.05	0
474	0.051	0
474.5	0.052	0
475	0.053	0
475.5	0.055	0
476	0.056	0
476.5	0.057	0
477	0.058	0
477.5	0.059	0
478	0.06	0
478.5	0.061	0
479	0.063	0
479.5	0.064	0
480	0.065	0
480.5	0.066	0
481	0.068	0
481.5	0.069	0
482	0.07	0
482.5	0.071	0
483	0.073	0
483.5	0.074	0
484	0.075	0
484.5	0.077	0
485	0.078	0
485.5	0.079	0
486	0.081	0
486.5	0.082	0
487	0.084	0
487.5	0.085	0
488	0.087	0
488.5	0.088	0
489	0.09	0
489.5	0.092	0
490	0.094	0
490.5	0.097	0
491	0.099	0
491.5	0.102	0
492	0.105	0
492.5	0.108	0
493	0.11	0
493.5	0.113	0
494	0.117	0
494.5	0.12	0
495	0.124	0
495.5	0.128	0
496	0.132	0
496.5	0.136	0
497	0.14	0
497.5	0.144	0
498	0.149	0
498.5	0.153	0
499	0.158	0
499.5	0.163	0
500	0.168	0
500.5	0.173	0
501	0.178	0
501.5	0.184	0
502	0.189	0
502.5	0.195	0
503	0.2	0
503.5	0.206	0
504	0.212	0
504.5	0.217	0
505	0.223	0
505.5	0.229	0
506	0.234	0
506.5	0.24	0
507	0.245	0
507.5	0.25	0
508	0.256	0
508.5	0.261	0
509	0.265	0
509.5	0.27	0
510	0.274	0
510.5	0.279	0
511	0.283	0
511.5	0.287	0
512	0.29	0
512.5	0.293	0
513	0.296	0
513.5	0.299	0
514	0.302	0
514.5	0.304	0
515	0.306	0
515.5	0.308	0
516	0.31	0
516.5	0.311	0
517	0.312	0
517.5	0.313	0
518	0.314	0
518.5	0.315	0
519	0.315	0
519.5	0.316	0
520	0.316	0
520.5	0.317	0
521	0.317	0
521.5	0.318	0
522	0.318	0
522.5	0.319	0.001
523	0.32	0.001
523.5	0.321	0.001
524	0.322	0.001
524.5	0.324	0.001
525	0.326	0.001
525.5	0.328	0.001
526	0.33	0.001
526.5	0.333	0.001
527	0.336	0.001
